id,id_genero,titulo,resumo,lancamento,idioma_original,poster
550,"[18, 53, 35]",Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1999-10-15,en,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
724089,[10749],Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2020-07-31,en,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg
667257,"[10751, 18]",Impossible Things,"Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",2021-06-17,es,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg
761053,"[10749, 35]",Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,en,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg
598,"[18, 80]",City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002-08-30,pt,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg
510,[18],One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975-11-19,en,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg
14537,"[28, 18, 36]",Harakiri,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",1962-09-15,ja,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg
820067,"[16, 35, 10749]",The Quintessential Quintuplets Movie,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2022-05-20,ja,/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg
157336,"[12, 18, 878]",Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,en,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
4935,"[14, 16, 12]",Howl's Moving Castle,"Sophie, a young milliner is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,ja,/yeJ5Nj1k2NA0bBZjkZ10PvQKjTD.jpg
324857,"[28, 12, 16, 878]",Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-06,en,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
378064,"[16, 18]",A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2016-09-17,ja,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg
120,"[12, 14, 28]",The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,en,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
1891,"[12, 28, 878]",The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,en,/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg
255709,[18],Hope,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2013-10-02,ko,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg
92321,"[10749, 16, 14]",Hotarubi no Mori e,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2011-09-17,ja,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg
40096,"[35, 18, 14]",A Dog's Will,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000-09-15,pt,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg
423,"[18, 10752]",The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,en,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
